STATE_CODE,SHRP_ID,CONSTRUCTION_NO,MRI,NEXT_MRI,NEXT_VISIT_DATE,YEARS_TO_NEXT,AADTT_ALL_TRUCKS_TREND,TOTAL_ANN_PRECIP,MEAN_ANN_TEMP_AVG,FREEZE_INDEX_YR,FREEZE_THAW_YR,PAVEMENT_AGE,SN,DIRECTION_OF_TRAVEL_EXP
30,1001,1,1.0390000343322754,1.0429999828338623,1990-05-05,0.6351813826146475,151,634.2000122070312,6.0,774,116,7.123887748117728,3.8219291338582684,Westbound
30,1001,1,1.0399999618530271,1.0210000276565552,1990-10-19,0.45722108145106094,172,360.3999938964844,7.300000190734863,603,127,7.759069130732375,3.8219291338582684,Westbound
30,1001,1,1.0080000162124634,1.0360000133514404,1991-11-10,1.0595482546201231,172,360.3999938964844,7.300000190734863,603,127,8.216290212183436,3.8219291338582684,Westbound
30,1001,1,1.024999976158142,1.0520000457763672,1992-08-26,0.7939767282683093,155,458.7000122070313,7.5,465,138,9.27583846680356,3.8219291338582684,Westbound
30,1001,1,1.065000057220459,1.0740000009536743,1993-09-28,1.0896646132785763,168,455.1000061035156,7.699999809265137,373,145,10.069815195071868,3.8219291338582684,Westbound
30,1001,1,1.0789999961853027,1.1019999980926514,1994-07-26,0.8240930869267625,172,772.0,5.5,735,128,11.159479808350445,3.8219291338582684,Westbound
30,1001,1,1.1089999675750732,1.0850000381469729,1995-10-11,1.2101300479123889,195,332.8999938964844,7.699999809265137,542,125,11.983572895277208,3.8219291338582684,Westbound
30,1001,1,1.0709999799728394,1.1200000047683716,1996-09-11,0.919917864476386,200,633.7999877929688,6.800000190734863,529,127,13.193702943189596,3.8219291338582684,Westbound
30,1001,1,1.1200000047683716,1.0850000381469729,1997-10-09,1.0759753593429158,214,428.5,4.900000095367432,1169,115,14.113620807665983,3.8219291338582684,Westbound
30,1001,1,1.093000054359436,1.2760000228881836,1998-06-10,0.6680355920602327,212,504.7999877929688,7.099999904632568,559,120,15.189596167008897,3.8219291338582684,Westbound
30,1001,1,1.2359999418258667,1.1169999837875366,1999-05-22,0.947296372347707,199,457.2999877929688,7.900000095367432,497,126,15.85763175906913,3.8219291338582684,Westbound
26,1001,1,1.0269999504089355,0.75,1990-07-24,0.5366187542778919,40,937.0999755859376,7.400000095367432,492,135,18.357289527720738,2.4945669291338586,Eastbound
26,1001,1,0.7440000176429749,0.8569999933242798,1991-01-08,0.459958932238193,40,937.0999755859376,7.400000095367432,492,135,18.89390828199863,2.4945669291338586,Eastbound
26,1001,1,0.8299999833106995,0.7580000162124634,1991-07-10,0.5010266940451745,68,1019.4000244140624,7.400000095367432,653,102,19.353867214236825,2.4945669291338586,Eastbound
26,1001,1,0.7450000047683716,0.7310000061988831,1992-09-25,1.212867898699521,68,1019.4000244140624,7.400000095367432,653,102,19.854893908281998,2.4945669291338586,Eastbound
26,1001,1,0.7329999804496765,0.7549999952316284,1993-11-02,1.103353867214237,55,820.2999877929688,5.900000095367432,549,135,21.06776180698152,2.4945669291338586,Eastbound
26,1001,1,0.7540000081062317,0.8270000219345093,1994-12-13,1.111567419575633,78,734.2000122070312,6.099999904632568,725,112,22.171115674195757,2.4945669291338586,Eastbound
26,1001,1,0.8140000104904175,0.7179999947547913,1997-06-15,2.5051334702258727,79,805.7000122070312,6.300000190734863,904,107,23.28268309377139,2.4945669291338586,Eastbound
26,1001,1,0.7310000061988831,0.7260000109672546,1998-11-04,1.3880903490759753,117,722.4000244140625,5.900000095367432,656,122,25.78781656399726,2.4945669291338586,Eastbound
26,1001,1,0.7350000143051147,0.734000027179718,2001-07-10,2.6803559206023273,126,715.5,8.5,406,117,27.175906913073238,2.4945669291338586,Eastbound
26,1001,1,0.7390000224113464,0.7350000143051147,2003-04-11,1.7522245037645447,84,886.7999877929688,7.900000095367432,464,103,29.856262833675565,2.4945669291338586,Eastbound
26,1001,1,0.753000020980835,0.7450000047683716,2003-11-21,0.6132785763175906,55,769.0,6.300000190734863,794,98,31.60848733744011,2.4945669291338586,Eastbound
50,1002,1,1.2200000286102295,1.2280000448226929,1990-06-07,0.6242299794661191,290,1063.300048828125,5.900000095367432,1034,86,5.223819301848049,7.351889763779528,Northbound
50,1002,1,1.2070000171661377,1.0770000219345093,1991-05-09,0.919917864476386,220,1285.800048828125,7.800000190734863,458,114,5.848049281314168,7.351889763779528,Northbound
50,1002,1,1.065999984741211,1.1150000095367432,1992-07-23,1.2073921971252566,225,867.5999755859375,7.400000095367432,661,97,6.767967145790554,7.351889763779528,Northbound
50,1002,1,1.118000030517578,1.4140000343322754,1994-02-18,1.5742642026009583,240,872.7999877929688,5.800000190734863,769,115,7.975359342915811,7.351889763779528,Northbound
50,1002,1,1.412999987602234,1.1540000438690186,1994-04-12,0.14510609171800137,224,952.5999755859376,6.099999904632568,987,92,9.54962354551677,7.351889763779528,Northbound
50,1002,1,1.156000018119812,1.3220000267028809,1994-07-25,0.28473648186173856,224,952.5999755859376,6.099999904632568,987,92,9.69472963723477,7.351889763779528,Northbound
50,1002,1,1.3339999914169312,1.1950000524520874,1994-10-23,0.2464065708418891,224,952.5999755859376,6.099999904632568,987,92,9.979466119096509,7.351889763779528,Northbound
50,1002,1,1.2239999771118164,1.2450000047683716,1995-01-06,0.2053388090349076,224,952.5999755859376,6.099999904632568,987,92,10.225872689938399,7.351889763779528,Northbound
50,1002,1,1.2369999885559082,1.4420000314712524,1995-02-21,0.12594113620807665,224,1023.7999877929688,7.0,742,94,10.431211498973306,7.351889763779528,Northbound
50,1002,1,1.47599995136261,1.194000005722046,1995-05-18,0.23545516769336072,224,1023.7999877929688,7.0,742,94,10.557152635181383,7.351889763779528,Northbound
50,1002,1,1.159999966621399,1.2200000286102295,1995-07-22,0.17796030116358658,224,1023.7999877929688,7.0,742,94,10.792607802874743,7.351889763779528,Northbound
50,1002,1,1.212000012397766,1.2300000190734863,1996-11-07,1.297741273100616,224,1023.7999877929688,7.0,742,94,10.97056810403833,7.351889763779528,Northbound
50,1002,1,1.2400000095367432,1.2790000438690186,1997-01-15,0.188911704312115,248,1082.5999755859375,7.400000095367432,715,101,12.268309377138946,7.351889763779528,Northbound
50,1002,1,1.284000039100647,1.559999942779541,1997-02-18,0.09308692676249145,262,975.2999877929688,5.699999809265137,705,130,12.457221081451062,7.351889763779528,Northbound
50,1002,1,1.508999943733215,1.1770000457763672,1997-04-07,0.13141683778234087,262,975.2999877929688,5.699999809265137,705,130,12.550308008213552,7.351889763779528,Northbound
50,1002,1,1.1820000410079956,1.2899999618530271,1997-07-10,0.25735797399041754,262,975.2999877929688,5.699999809265137,705,130,12.681724845995893,7.351889763779528,Northbound
50,1002,1,1.2719999551773071,1.253999948501587,1997-10-23,0.2874743326488706,262,975.2999877929688,5.699999809265137,705,130,12.93908281998631,7.351889763779528,Northbound
50,1002,1,1.2619999647140503,1.258999943733215,1998-06-18,0.6516084873374401,262,975.2999877929688,5.699999809265137,705,130,13.22655715263518,7.351889763779528,Northbound
50,1002,1,1.350000023841858,1.4279999732971191,1999-07-13,1.0677618069815196,257,1362.4000244140625,7.800000190734863,479,115,13.878165639972622,7.351889763779528,Northbound
50,1002,1,1.3949999809265137,1.3049999475479126,1999-09-28,0.2108145106091718,380,954.0,7.800000190734863,621,112,14.94592744695414,7.351889763779528,Northbound
50,1002,1,1.2990000247955322,1.7480000257492063,2000-03-04,0.432580424366872,380,954.0,7.800000190734863,621,112,15.156741957563312,7.351889763779528,Northbound
50,1002,1,1.753000020980835,1.3459999561309814,2000-06-07,0.2600958247775496,392,1172.0999755859375,6.300000190734863,804,96,15.589322381930184,7.351889763779528,Northbound
50,1002,1,1.399999976158142,1.343000054359436,2000-09-28,0.30937713894592744,392,1172.0999755859375,6.300000190734863,804,96,15.849418206707734,7.351889763779528,Northbound
50,1002,1,1.3240000009536743,1.741000056266785,2001-01-11,0.2874743326488706,392,1172.0999755859375,6.300000190734863,804,96,16.15879534565366,7.351889763779528,Northbound
50,1002,1,1.6269999742507937,1.4329999685287476,2001-03-20,0.1861738535249829,325,767.0999755859375,7.5,582,119,16.44626967830253,7.351889763779528,Northbound
