Model,CV_RMSE,CV_RMSE_std,Test_RMSE,Test_R2
Linear Regression,0.27565654828516534,0.09302024241780377,0.3040687777958219,0.6347116436752485
Random Forest,0.2821269542453836,0.09567493488440364,0.31245650905606714,0.6142807401276482
XGBoost,0.3035654593307065,0.10155827950053446,0.30046613839703334,0.643316316383497
