STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND
16,1021,1,1998,473
16,1021,1,1995,760
16,1021,1,2000,528
16,1021,1,2002,597
16,1021,1,1999,530
16,1021,1,2001,565
16,1021,1,2006,668
16,1021,1,2003,626
16,1021,1,2004,644
16,1021,1,2005,656
17,1003,1,1989,217
17,1003,1,1988,217
17,1003,1,1987,217
17,1003,1,1986,204
17,1003,1,1990,212
17,1003,1,1994,286
17,1003,1,1993,299
17,1003,1,1991,208
17,1003,1,1992,247
17,1003,1,1997,375
17,1003,1,1998,338
17,1003,1,1995,305
17,1003,1,1996,375
17,1003,1,2000,405
17,1003,1,1999,379
17,1003,1,2002,525
17,1003,1,2001,465
17,1003,1,2006,765
17,1003,1,2003,567
17,1003,1,2004,645
17,1003,1,2005,705
17,1003,1,2007,825
18,2009,1,1984,340
18,2009,1,1999,564
18,2009,1,1992,483
18,2009,1,1998,657
18,2009,1,1997,542
18,2009,1,1996,469
18,2009,1,1995,602
18,2009,1,1982,314
18,2009,1,1993,515
18,2009,1,1981,297
18,2009,1,1991,481
18,2009,1,1990,480
18,2009,1,1989,450
18,2009,1,1988,435
18,2009,1,1987,412
18,2009,1,1986,354
18,2009,1,1985,346
18,2009,1,1983,327
18,2009,1,1994,472
23,1012,1,1999,1854
23,1012,1,1987,1440
23,1012,1,1986,1310
23,1012,1,1985,1280
23,1012,1,1989,1690
23,1012,1,2002,1799
23,1012,1,2000,1782
23,1012,1,1990,1150
23,1012,1,1988,1470
23,1012,1,1998,1530
23,1012,1,1997,1437
23,1012,1,1996,1343
23,1012,1,1995,1320
23,1012,1,1994,1280
23,1012,1,1993,1270
23,1012,1,1992,1210
23,1012,1,1991,1160
23,1012,1,2001,1843
26,1001,1,2006,87
26,1001,1,2005,83
26,1001,1,2004,79
26,1001,1,2003,55
26,1001,1,2002,73
26,1001,1,2001,84
26,1001,1,2000,81
26,1001,1,1982,55
26,1001,1,1984,55
26,1010,1,1993,130
26,1010,1,1982,316
26,1010,1,1991,80
26,1010,1,1990,78
26,1010,1,1989,200
26,1010,1,1988,160
26,1010,1,1987,455
26,1010,1,1986,445
26,1010,1,1985,445
26,1010,1,1995,202
26,1010,1,1983,450
26,1010,1,1994,184
26,1010,1,1981,450
26,1010,1,1980,450
26,1010,1,1979,425
26,1010,1,1978,425
26,1010,1,1977,400
26,1010,1,1976,390
26,1010,1,1975,350
26,1010,1,1984,450
26,1010,1,1992,82
26,1010,1,1998,98
26,1010,1,1997,126
26,1010,1,1996,158
26,1001,1,1979,85
26,1001,1,1985,55
26,1001,1,1996,129
26,1001,1,1995,112
26,1001,1,1994,79
26,1001,1,1993,78
26,1001,1,1992,55
26,1001,1,1991,68
26,1001,1,1990,40
26,1001,1,1989,45
26,1001,1,1988,50
26,1001,1,1971,35
26,1001,1,1986,55
26,1001,1,1999,62
26,1001,1,1983,55
26,1001,1,1981,55
26,1001,1,1980,85
26,1001,1,1978,75
26,1001,1,1976,65
26,1001,1,1975,65
26,1001,1,1974,60
26,1001,1,1973,55
26,1001,1,1972,40
26,1001,1,1987,55
26,1001,1,1977,75
26,1001,1,1997,117
26,1001,1,1998,126
27,1029,1,1988,210
27,1029,1,1971,230
27,1029,1,1994,205
27,1029,1,1970,225
27,1029,1,1995,217
27,1029,1,1993,184
27,1029,1,1992,207
27,1029,1,1991,188
27,1029,1,1990,170
27,1029,1,1989,220
27,1029,1,1997,195
27,1029,1,1974,290
27,1029,1,1996,187
27,1029,1,1987,200
27,1029,1,1977,210
27,1029,1,1975,240
27,1029,1,1973,260
27,1029,1,1978,225
27,1029,1,1979,210
27,1029,1,1972,240
27,1029,1,1981,200
27,1029,1,1982,210
27,1029,1,1983,210
27,1029,1,1984,210
27,1029,1,1980,200
27,1029,1,1986,190
27,1029,1,1976,190
27,1029,1,1985,200
28,1016,1,1990,124
28,1016,1,1995,169
28,1016,1,1996,280
28,1016,1,1997,208
28,1016,1,1998,214
28,1016,1,1993,173
28,1016,1,1991,155
28,1016,1,1992,171
28,1016,1,1994,168
28,1016,1,1989,110
28,1016,1,1986,90
28,1016,1,1987,90
28,1016,1,1988,120
28,3083,1,1998,28
28,3083,1,2009,41
28,3083,1,1997,34
28,3083,1,2011,43
28,3083,1,2012,45
28,3083,1,2013,46
28,3083,1,2014,48
28,3083,1,2015,49
28,3083,1,2016,51
28,3083,1,2017,53
28,3083,1,2007,38
28,3083,1,1989,20
28,3083,1,1979,10
28,3083,1,1980,15
28,3083,1,1982,25
28,3083,1,2006,37
28,3083,1,1984,25
28,3083,1,1985,25
28,3083,1,1986,25
28,3083,1,1999,29
28,3083,1,1988,20
28,3083,1,1978,10
28,3083,1,1990,13
28,3083,1,1991,19
28,3083,1,1992,23
28,3083,1,1993,24
28,3083,1,1994,24
28,3083,1,1995,22
28,3083,1,1996,26
28,3083,1,1987,25
28,3083,1,2008,39
28,3082,1,1998,422
28,3082,1,1989,335
28,3082,1,1990,252
28,3082,1,1991,262
28,3082,1,1992,354
28,3082,1,1993,364
28,3082,1,1994,375
28,3082,1,1995,386
28,3082,1,1997,410
28,3082,1,1999,510
28,3082,1,2000,493
28,3082,1,2001,465
28,3082,1,1996,398
28,3083,1,1983,25
28,3083,1,2010,42
28,3083,1,1981,15
28,3083,1,2000,30
28,3083,1,2001,31
28,3083,1,2002,32
28,3083,1,2003,33
28,3083,1,2004,35
28,3083,1,2005,36
29,1005,1,2002,789
29,1005,1,1997,472
29,1005,1,1998,513
29,1005,1,1999,542
29,1005,1,2001,760
29,1005,1,2003,803
29,1005,1,2004,860
29,1005,1,2005,757
29,1005,1,2000,730
29,1005,1,1987,337
29,1005,1,1981,274
29,1005,1,1984,285
29,1005,1,1994,499
29,1005,1,1993,447
29,1005,1,1992,317
29,1005,1,1991,481
29,1005,1,1995,405
29,1005,1,1996,477
29,1005,1,1990,598
29,1005,1,1988,371
29,1005,1,1986,311
29,1005,1,1975,204
29,1005,1,1980,251
29,1005,1,1979,229
29,1005,1,1978,223
29,1005,1,1989,398
29,1005,1,1976,209
29,1005,1,1985,277
29,1005,1,1974,200
29,1005,1,1983,292
29,1005,1,1982,297
29,1005,1,1977,216
30,1001,1,1990,172
30,1001,1,1983,166
30,1001,1,1985,139
30,1001,1,1986,166
30,1001,1,1987,157
30,1001,1,1989,151
30,1001,1,1982,154
30,1001,1,1991,155
30,1001,1,1992,168
30,1001,1,1993,172
30,1001,1,1994,195
30,1001,1,1995,200
30,1001,1,1996,214
30,1001,1,1997,212
30,1001,1,1998,199
30,1001,1,1999,189
30,1001,1,1988,147
30,1001,1,1984,171
34,1638,1,1991,1430
34,1638,1,2007,1336
34,1638,1,2005,1700
34,1638,1,2003,1914
34,1638,1,1985,1053
34,1638,1,2002,1609
34,1638,1,2001,1592
34,1638,1,2000,1380
34,1638,1,1999,1178
34,1638,1,2004,1860
34,1638,1,1990,1250
34,1638,1,1989,1190
34,1638,1,1988,1000
34,1638,1,1998,1269
34,1638,1,1986,720
34,1638,1,2006,1405
34,1638,1,1997,1254
34,1638,1,1996,1189
34,1638,1,1992,1615
34,1638,1,1993,1146
34,1638,1,1994,1149
34,1638,1,1995,1167
34,1638,1,1987,850
35,2006,1,1992,309
35,2006,1,1987,217
35,2006,1,1984,247
35,2006,1,1986,330
35,2006,1,1988,223
35,2006,1,1989,279
35,2006,1,1990,354
35,2006,1,1991,297
35,2006,1,1993,345
35,2006,1,1982,252
35,2006,1,1983,219
35,2006,1,1985,270
35,1022,1,1995,689
35,1022,1,1999,496
35,1022,1,1998,481
35,1022,1,1996,330
35,1022,1,1986,414
35,1022,1,1994,953
35,1022,1,1993,909
35,1022,1,1992,309
35,1022,1,1991,612
35,1022,1,1990,594
35,1022,1,1989,426
