STATE_CODE,SHRP_ID,YEAR,TOTAL_ANN_PRECIP
1,1021,1972,1346.0999755859375
1,1021,1973,1528.0
1,1021,1974,1456.0999755859375
1,1021,1975,1982.4000244140625
1,1021,1976,1322.4000244140625
1,1021,1977,1255.4000244140625
1,1021,1978,1341.699951171875
1,1021,1979,1575.5999755859375
1,1021,1980,1269.4000244140625
1,1021,1981,1175.699951171875
1,1021,1982,1541.300048828125
1,1021,1983,1762.800048828125
1,1021,1984,1350.800048828125
1,1021,1985,1259.300048828125
1,1021,1986,1214.0999755859375
1,1021,1987,1248.0
1,1021,1988,1330.300048828125
1,1021,1989,1757.4000244140625
1,1021,1990,1311.300048828125
1,1021,1991,1461.5999755859375
1,1021,1992,1598.300048828125
1,1021,1993,1248.4000244140625
1,1021,1994,1477.9000244140625
1,1021,1995,1308.699951171875
1,1021,1996,1556.9000244140625
1,1021,1997,1437.300048828125
1,1021,1998,1261.5
1,1021,1999,1266.5
1,1021,2000,1000.5999755859375
1,1021,2001,1354.300048828125
1,1021,2002,1245.9000244140625
1,1021,2003,1491.199951171875
1,1021,2004,1319.5999755859375
1,1021,2005,1468.5
1,1021,2006,1166.5999755859375
1,1021,2007,952.7000122070312
1,1021,2008,1400.0
1,1021,2009,1967.5999755859375
1,1021,2010,1116.9000244140625
1,1021,2011,1149.5
1,1021,2012,1238.300048828125
1,4125,1972,1271.699951171875
1,4125,1973,1508.699951171875
1,4125,1974,1342.9000244140625
1,4125,1975,1939.9000244140625
1,4125,1976,1250.199951171875
1,4125,1977,1190.699951171875
1,4125,1978,1321.300048828125
1,4125,1979,1470.300048828125
1,4125,1980,1214.0999755859375
1,4125,1981,1213.699951171875
1,4125,1982,1594.300048828125
1,4125,1983,1811.0
1,4125,1984,1332.199951171875
1,4125,1985,1263.9000244140625
1,4125,1986,1284.9000244140625
1,4125,1987,1298.199951171875
1,4125,1988,1495.0999755859375
1,4125,1989,1826.300048828125
1,4125,1990,1331.699951171875
1,4125,1991,1551.0
1,4125,1992,1624.199951171875
1,4125,1993,1296.0999755859375
1,4125,1994,1491.199951171875
1,4125,1995,1273.699951171875
1,4125,1996,1584.300048828125
1,4125,1997,1361.4000244140625
1,4125,1998,1222.0
1,4125,1999,1217.800048828125
1,4125,2000,1010.0
1,4125,2001,1291.800048828125
1,4125,2002,1148.800048828125
1,4125,2003,1432.199951171875
1,4125,2004,1290.699951171875
1,4125,2005,1361.5
1,4125,2006,1152.9000244140625
1,4125,2007,957.9000244140625
1,4125,2008,1366.300048828125
1,4125,2009,1801.300048828125
1,4125,2010,1070.699951171875
